Last_Refreshed,Transaction,EUR_Balance,BTC_Balance,BTCEUR_Balance,BTCEUR_Rate,Profit
2020-12-22 12:31:49,BUY,0.0,0.01020681,200.0,19594.76075287,0.0
2020-12-22 16:00:18,SELL,195.9138983025219,0.0,0.0,19194.429827,-4.086101697479166
2020-12-22 18:30:54,BUY,0.0,0.010167222983739314,195.9138983025219,19269.165102,âˆ’0.381470001
2020-12-22 19:15:45,SELL,195.85442673809976,0.0,0.0,19263.31576,-0.05947156442216534

2020-12-23 01:05:00,SELL,200.655635885,0.0,0.0,19735.54,0.0
2020-12-23 05:50:19,BUY,0.0,0.010409233130763938,200.655635885,19276.697271,2.286717375149993
2020-12-23 08:45:08,SELL,200.71173510416716,0.0,0.0,19282.086642,5.389370999997482
2020-12-23 12:20:31,BUY,0.0,0.010577579713685977,200.71173510416716,18975.204209,3.246073398
2020-12-23 13:50:24,SELL,205.8285437856955,0.0,0.0,19458.94518,5.116808682
2020-12-24 11:45:58,BUY,5.828543785695501,0.010511901830955019,200.0,19026.05287,2.1211723190000145
2020-12-24 14:40:54,SELL,206.68231205339612,0.0,0.0,19107.272071,0.8366929023465906
2020-12-24 16:00:26,BUY,6.682312053396117,0.010490034777414036,200.00000000000003,19065.713722,0.20363591009999507
